日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2019/4/1,30.801,4.585098,1.12415,111.015,1.3071,0.71305,7.8496,6.71765,14.3073,0.6832
2019/4/2,30.843,4.586015,1.1204,111.37,1.3071,0.7074,7.84985,6.72545,14.2289,0.67745
2019/4/3,30.817,4.592257,1.124,111.51,1.31815,0.7118,7.84955,6.71065,14.1246,0.6788
2019/4/8,30.845,4.587515,1.1228,111.47,1.3055,0.70995,7.84955,6.7237,14.1538,0.67345
2019/4/9,30.841,4.591608,1.1272,111.265,1.3069,0.7147,7.84275,6.7168,14.0471,0.6753
2019/4/10,30.845,4.587577,1.1263,111.175,1.30705,0.71475,7.83955,6.7236,14.0441,0.67505
2019/4/11,30.866,4.590638,1.1281,111.135,1.3084,0.7156,7.8435,6.7237,13.9116,0.6755
2019/4/12,30.88,4.593987,1.12925,111.935,1.3064,0.7139,7.84305,6.72185,13.9916,0.6734
2019/4/15,30.866,4.601472,1.13165,111.945,1.31,0.7168,7.8409,6.70785,13.91765,0.6765
2019/4/16,30.874,4.602974,1.13125,111.895,1.30845,0.715,7.8402,6.7074,14.0364,0.6757
2019/4/17,30.848,4.613812,1.1319,112.035,1.3052,0.72015,7.8453,6.686,13.9633,0.674
2019/4/18,30.841,4.600675,1.12495,111.855,1.3012,0.7163,7.84515,6.7036,14.0831,0.6706
2019/4/19,30.842,4.599282,1.12465,111.92,1.29995,0.71555,7.8446,6.70585,14.0664,0.66915
2019/4/22,30.856,4.595045,1.12445,111.915,1.29955,0.71375,7.84525,6.71505,14.1069,0.6679
2019/4/23,30.858,4.591794,1.12545,111.885,1.29955,0.7115,7.8448,6.72025,14.2164,0.66615
2019/4/24,30.875,4.59173,1.1214,111.805,1.2926,0.7043,7.84255,6.72405,14.35335,0.66275
2019/4/25,30.905,4.581357,1.11505,111.855,1.28945,0.70095,7.8433,6.7458,14.4941,0.65895
2019/4/26,30.907,4.583539,1.1133,111.685,1.29025,0.70295,7.84465,6.74305,14.4085,0.66475
2019/4/29,30.897,4.584126,1.1158,111.77,1.29375,0.70495,7.84425,6.74,14.3278,0.6664
2019/4/30,30.905,4.581666,1.11885,111.335,1.2964,0.70445,7.84535,6.74535,14.3438,0.66645
2019/5/2,30.905,4.58454,1.121,111.535,1.30695,0.7024,7.84395,6.74115,14.4322,0.6633
2019/5/3,30.907,4.582921,1.1165,111.495,1.3022,0.69965,7.84475,6.74395,14.55315,0.66185
2019/5/6,30.925,4.562149,1.11915,110.745,1.31225,0.69935,7.84595,6.7786,14.4715,0.66235
2019/5/7,30.911,4.562649,1.1195,110.675,1.30895,0.70255,7.8478,6.7748,14.4674,0.6608
