幣別        匯率             現金        即期        遠期10天        遠期30天        遠期60天        遠期90天       遠期120天       遠期150天       遠期180天 匯率             現金        即期        遠期10天        遠期30天        遠期60天        遠期90天       遠期120天       遠期150天       遠期180天
USD         本行買入     30.49500    30.86500        30.84100        30.79400        30.73100        30.66500        30.60200        30.52700        30.46200 本行賣出     31.18500    30.96500        30.94600        30.90700        30.84500        30.77800        30.72000        30.65300        30.60300
HKD         本行買入      3.77200     3.90800         3.90600         3.90100         3.89400         3.88800         3.88200         3.87600         3.87000 本行賣出      3.98800     3.96800         3.96700         3.96300         3.95800         3.95200         3.94700         3.94200         3.93700
GBP         本行買入     39.13000    40.13000        40.12100        40.10300        40.08700        40.06100        40.03300        40.00500        39.97600 本行賣出     41.25000    40.55000        40.55100        40.55300        40.53400        40.50700        40.49500        40.48200        40.46900
AUD         本行買入     21.32000    21.59000        21.57600        21.54700        21.52100        21.49200        21.45300        21.43300        21.38900 本行賣出     22.10000    21.82000        21.81600        21.80700        21.78000        21.75000        21.72000        21.70800        21.67200
CAD         本行買入     22.47000    22.86000        22.84800        22.82300        22.79400        22.76100        22.72600        22.69200        22.65700 本行賣出     23.38000    23.08000        23.07400        23.06200        23.03500        23.00100        22.97600        22.95200        22.92800
SGD         本行買入     22.15000    22.64000        22.62500        22.59600        22.56100        22.52600        22.49100        22.45600        22.42100 本行賣出     23.06000    22.82000        22.81200        22.79700        22.76500        22.73000        22.70400        22.67800        22.65100
CHF         本行買入     29.56000    30.22000        30.22500        30.23600        30.26300        30.29100        30.31100        30.33100        30.35200 本行賣出     30.76000    30.51000        30.52500        30.55400        30.58300        30.61100        30.64200        30.67400        30.70600
JPY         本行買入      0.27150     0.27880         0.27880         0.27880         0.27890         0.27900         0.27910         0.27910         0.27910 本行賣出      0.28430     0.28280         0.28290         0.28300         0.28310         0.28330         0.28340         0.28360         0.28370
ZAR         本行買入      0.00000     2.11000         2.10500         2.09600         2.08500         2.07200         2.05900         2.04700         2.03400 本行賣出      0.00000     2.19000         2.18600         2.17900         2.16700         2.15400         2.14300         2.13100         2.11900
SEK         本行買入      2.85000     3.19000         3.19000         3.19000         3.19100         3.19200         3.19200         3.19300         3.19300 本行賣出      3.37000     3.29000         3.29100         3.29300         3.29500         3.29600         3.29800         3.29900         3.30100
NZD         本行買入     19.91000    20.29000        20.27600        20.24700        20.21600        20.18500        20.15400        20.12300        20.09200 本行賣出     20.76000    20.49000        20.48500        20.47400        20.44500        20.41400        20.39100        20.36700        20.34400
THB         本行買入      0.84930     0.95790         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      1.03730     0.99790         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
PHP         本行買入      0.51980     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.65280     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
IDR         本行買入      0.00183     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.00253     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
EUR         本行買入     33.83000    34.45000        34.45000        34.45040        34.46700        34.48600        34.49500        34.50400        34.51200 本行賣出     35.17000    34.85000        34.86200        34.88500        34.90700        34.92800        34.95200        34.97500        34.99800
KRW         本行買入      0.02470     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.02860     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
VND         本行買入      0.00095     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.00145     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
MYR         本行買入      6.36000     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      7.99000     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
CNY         本行買入      4.45700     4.52900         4.52490         4.51660         4.50620         4.49480         4.48270         4.47060         4.45850 本行賣出      4.61900     4.57900         4.57680         4.57250         4.56420         4.55540         4.54710         4.53870         4.53040
